CUSTOMERKEY,CUSTOMERID,STOREID,TERRITORYKEY,ACCOUNTNUMBER,CUSTOMERMODIFIEDDATE,STORENAME,STOREMODIFIEDDATE,STORECATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,1,934.0,1,AW00000001,2014-09-12 11:15:07.263,A Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,cf44125226052f9c467cb09131cf4211bf8883aed34ff8e96bcf57d0d17bbf90
2,2,1028.0,1,AW00000002,2014-09-12 11:15:07.263,Progressive Sports,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,18d1eb6a5d95520817d89eb4f3c02ee4da23249fff042688adcffb189f0752c8
3,3,642.0,4,AW00000003,2014-09-12 11:15:07.263,Advanced Bike Components,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,50002813e360fcff7f897b62e8b8b2ed6af9d878e5ed474605dffa5a1b1936a1
4,4,932.0,4,AW00000004,2014-09-12 11:15:07.263,Modular Cycle Systems,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,ab11ff219dd01a518f80805fe3bbbab029530ea60ab61a7f5acbb0ef828939a9
5,5,1026.0,4,AW00000005,2014-09-12 11:15:07.263,Metropolitan Sports Supply,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,2ac87457959017adb9c431feb6e68797a345bfb27d459bb06a5236cb64d11666
6,6,644.0,4,AW00000006,2014-09-12 11:15:07.263,Aerobic Exercise Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,eb31a3fd9c945e4d759d1942f266dd535f9301b83b1fcd4ab72fd4fb37f57dee
7,7,930.0,1,AW00000007,2014-09-12 11:15:07.263,Associated Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,6024ede34c6bb5f1b4af151348f94752873f78347987f19fd5d1a0e720c95d86
8,8,1024.0,5,AW00000008,2014-09-12 11:15:07.263,Exemplary Cycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,34b7455dc17e20c8bb416129e5e8176c81d9c32a24219badbeba578aae580698
9,9,620.0,5,AW00000009,2014-09-12 11:15:07.263,Tandem Bicycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,449acf0daf6b689b3edc661373a5ba7b73df6f83789efeae4dbb1d4d90e1993c
10,10,928.0,6,AW00000010,2014-09-12 11:15:07.263,Rural Cycle Emporium,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,0a521355029a8d755da72918de49c64c80288fa4be8e2e5fe60d352a70035493
11,11,1022.0,6,AW00000011,2014-09-12 11:15:07.263,Sharp Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,563076c1d69f14ede2ac98dea29476a5a535d13448d924d8850717e3cb3ce384
12,12,622.0,6,AW00000012,2014-09-12 11:15:07.263,Bikes and Motorbikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,bc68f346aff0b2d12ed7a6097735f6659ee17585453b237b55cbc0693c1e6127
13,13,434.0,7,AW00000013,2014-09-12 11:15:07.263,Country Parts Shop,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,dd9227eb930d7a1c350d028faa0d9288ade46c96e33687e9493b872d91b888b2
14,14,1020.0,8,AW00000014,2014-09-12 11:15:07.263,Bicycle Warehouse Inc.,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,e74529759643eec3609a83b1d9b7ec7004c2909ede15e2e0148f805b1edc0d20
15,15,624.0,9,AW00000015,2014-09-12 11:15:07.263,Budget Toy Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,15ba5e26b3ae677a89a9817736e3f9d43fdc8e99b6141aebdf129642966e4a1e
16,16,432.0,10,AW00000016,2014-09-12 11:15:07.263,Bulk Discount Store,2014-09-12 11:15:07.497,Discount Store,True,2006-06-23,9999-12-31 00:00:00,fbef4feb2aab4b6f301f9b8307ad2233f8bdf46205c032e9489cf28487e4a40a
17,17,1018.0,5,AW00000017,2014-09-12 11:15:07.263,Trusted Catalog Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,fa500670888ee2e16fbc18de8e0686b82cb381bcaa5c20087f3b3087916794f8
18,18,1332.0,3,AW00000018,2014-09-12 11:15:07.263,Catalog Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,4922d459225765f9e0bc6ea5a8c975d847a949c104a974ac38a6d06fe448e82f
19,19,430.0,1,AW00000019,2014-09-12 11:15:07.263,Center Cycle Shop,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,2a7384cb7f78ae08b59b069ecd1bd5691a223cedd795f5d3a25d69df70f257a4
20,20,1016.0,1,AW00000020,2014-09-12 11:15:07.263,Central Discount Store,2014-09-12 11:15:07.497,Discount Store,True,2006-06-23,9999-12-31 00:00:00,f496736576039d3f0c232f9064940e45857fd57f0b6f4538d8d18fe813256086
