PRODUCTCOSTHISTORYKEY,PRODUCTID,PRODUCTKEY,HISTORYSTARTDATE,HISTORYENDDATE,STANDARDCOST,HISTORYMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,804,1,2012-05-30,2013-05-29,101.89,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bbb3b75c23fafee64ea4af9fec083a9de688df3777ffe1df088c23c6233275a0
2,803,2,2012-05-30,2013-05-29,77.92,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,2d5949e3dad7e6d0db4c7e92a57c5c8796b42bf826618c6df5b8fbeff6c58746
3,802,3,2012-05-30,2013-05-29,65.81,2013-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,329a81c80192558389718d484d02698ba7daad6933d10e06a65aaa73d71d8a2f
4,937,4,2013-05-30,,35.96,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,aa88c071289598bd12600faf2332b6b6574dda6bc8fb0cf0f86bbcb9c4d9a3e0
5,940,5,2013-05-30,,35.96,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b96cdc5b322b0e369a95c95df75f1cfa53404660ca87a34051b253faeeeeddbe
6,941,6,2013-05-30,,35.96,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,19212e0b2b61435259cf353a467f4340e8855c2168410a9ae53ad0da02d610c4
7,936,7,2013-05-30,,27.57,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,c03f3416c9635ec50b533842fadd70a5e997c04c27bde0f778ccd1ebfbb1ef89
8,939,8,2013-05-30,,27.57,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bbec1f51d2a5da22971335ee6936127e01d99aeab2d86aaadbda7b32e1ec8b14
9,935,9,2013-05-30,,17.98,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,a32569afe1210487ec47483f21e282bf24d2295be0959c21b0c165984fe0ed11
10,938,10,2013-05-30,,17.98,2013-05-16 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0d093674c905b66be99f5fc6255a6a151b0cf51372599c5a451e1fb299bb82a1
11,772,11,2011-05-31,2012-05-29,1912.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,bba4e6ce21518ac21430415dcba8d8b59762c7a9e4e90f9c39292c6428a0dff6
12,773,12,2011-05-31,2012-05-29,1912.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,91198ee7da7a62d79603e54893e9e67addb4ec7ba717d2e334233245a65fc552
13,774,13,2011-05-31,2012-05-29,1912.15,2012-05-29 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5754137d052f03397553de3fe0b124e566cfad37db62c88e5b64d84e1873b7d4
