PRODUCTINVENTORYKEY,PRODUCTID,PRODUCTKEY,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SHELF,BIN,QUANTITY,PROHISMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,1,248,1,Tool Crib,0.0,0.0,2008-04-30,A,1,408,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,3f106464581ee4587746763b7017bf967d5d705bdc3975c3d1659136e173cc31
2,1,248,6,Miscellaneous Storage,0.0,0.0,2008-04-30,B,5,324,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,b535f7bc3d82ef10b0c226af8c9907913023226393808704f8561763bfb35252
3,1,248,50,Subassembly,12.25,120.0,2008-04-30,A,5,353,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,8d31e68743ca6c303b57c4570b60fa2f7bf719d8feb2623f83b2365b951e59af
4,2,184,1,Tool Crib,0.0,0.0,2008-04-30,A,2,427,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,132b57ce33e251f40e9412ffe28a20812d3dcfa54f4c208053c7ffe84e562dcc
5,2,184,6,Miscellaneous Storage,0.0,0.0,2008-04-30,B,1,318,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,e951e0ecdd65fb3690ba5270befb47721c0e36168825e5185ebf696a4228830d
6,2,184,50,Subassembly,12.25,120.0,2008-04-30,A,6,364,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,a7769c7bc21519f4165d5aaa266664b083353853cad9f00f6c74cffdad68379d
7,3,185,1,Tool Crib,0.0,0.0,2008-04-30,A,7,585,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,fd0f18930c555eec06a32dc49c6127980045aa41ce37234fed0159a8819f8b07
8,3,185,6,Miscellaneous Storage,0.0,0.0,2008-04-30,B,9,443,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,b4efd755c7812a3069c14e90220cea342d39e244825c0400231a20a58f0d5fdd
9,3,185,50,Subassembly,12.25,120.0,2008-04-30,A,10,324,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,edd2bcdf8178d4cafd43a6f9ae1986fc2a4fc4f821dd33c9df41b11bbade5c2f
10,4,186,1,Tool Crib,0.0,0.0,2008-04-30,A,6,512,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,52cd65414f7d56d3c27d0a7d80136d8b190ac2cb0d6904931c20abe2ba537a98
11,4,186,6,Miscellaneous Storage,0.0,0.0,2008-04-30,B,10,422,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,946f31594a5b2d6b2d7e8de0ad8d5c7ad9140c025bb0c23856e6b372fe473a19
12,4,186,50,Subassembly,12.25,120.0,2008-04-30,A,11,388,2014-08-08,True,2006-06-23,9999-12-31 00:00:00,895abb2d2d4f3e24569c8ec9f045c30982e33918672553a85ab552fb15ac9d91
13,316,187,5,Metal Storage,0.0,0.0,2008-04-30,A,11,532,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,db69edc75baefa05d9fd8c50c2178a6ca79682bdebf9fbbc5bc1175114738e69
14,316,187,10,Frame Forming,22.5,96.0,2008-04-30,B,1,388,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,cf11ab83b366a2395c568dacab9b0178d26c419790dc983ae1412e7d4612677d
15,316,187,50,Subassembly,12.25,120.0,2008-04-30,B,8,441,2008-03-31,True,2006-06-23,9999-12-31 00:00:00,edbde6634651e0a11c8cae54d3666356fd585c41ffd7bf48eaf92ddf3bf99ea3
16,317,188,1,Tool Crib,0.0,0.0,2008-04-30,C,1,283,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,3480e37975b4c30dd2670e4a858f3edc4fd3da0b204dd2f1618024ebc32d3df5
17,317,188,5,Metal Storage,0.0,0.0,2008-04-30,A,1,158,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,fabd8c5a010e5f7a4466e3232608ea368404faa35e25a6d26004c4c9e4d884a4
18,317,188,50,Subassembly,12.25,120.0,2008-04-30,A,21,152,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,7bcd055389efc58931aa008080d5f95f283245bccfd36323e29a41bd26e680c2
19,318,189,1,Tool Crib,0.0,0.0,2008-04-30,C,2,136,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,1eae0da6bd440f4ee749961b76940002cdd60de80c17b91b32f21ea7318515ea
20,318,189,5,Metal Storage,0.0,0.0,2008-04-30,A,2,171,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,8550408d446e801b48beec268fc5ac29f4aa0748d33041a88d62901505d41bed
21,318,189,50,Subassembly,12.25,120.0,2008-04-30,A,22,132,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,fe28d9d17749856fe04ce22ddb6037bb593f6a3c978d598715babf8a150348a5
22,319,190,1,Tool Crib,0.0,0.0,2008-04-30,C,3,308,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,1ccd8df8d0104579a9549996eb8284b4cf066e2a7dcd7d7f14e0da71b7449ca3
23,319,190,5,Metal Storage,0.0,0.0,2008-04-30,A,3,184,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,f7bf706cefcf4b89bde017649f56343aa0a4ef9cd5272de2eb7f07fc3421fe9a
24,319,190,50,Subassembly,12.25,120.0,2008-04-30,A,23,305,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,d494407c36f8422fd738e530cfe26ef9a0d6e29d8b8d8fabdfa2b1449ec02855
25,320,191,1,Tool Crib,0.0,0.0,2008-04-30,C,4,481,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,84c654e95a965de012059094b7c7813cd2cedae73db056d20d93e5bd57f25e64
26,320,191,5,Metal Storage,0.0,0.0,2008-04-30,A,4,372,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,b31117420deb3133cd37a2e1f7bc3ea769db08fa8d4ec3305ff5cd26a2bea279
27,320,191,50,Subassembly,12.25,120.0,2008-04-30,A,24,283,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,29e823219e74efbd9f4f1b364c148db9adc9a3074b7223bf2f60b98acfb59465
28,321,192,1,Tool Crib,0.0,0.0,2008-04-30,C,6,569,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,075f8ed35ed2c432cd5902689c50f6a1cf94fca5fcc2e25c5ab80f2cf9b91730
