SALESPERSONKEY,BUSINESSENTITYID,TERRITORYID,TERRITORYKEY,SALESQUOTA,BONUS,COMMISSIONPCT,SALESYTD,SALESLASTYEAR,SALESPERSONMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,274,,,,0.0,0.0,559697.56,0.0,2010-12-28 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,e02d5a81e7cc9992641c5a6045af2c1019b5364e81a7eb170ecf9bb263e9866c
2,275,2.0,2.0,300000.0,4100.0,0.01,3763178.18,1750406.48,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5d27ae62e04c86063a59e53497e05fc6a35169d8a3f433a2f1d183e972a14dbb
3,276,4.0,4.0,250000.0,2000.0,0.02,4251368.55,1439156.03,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0855af621505acfb258275a09f1d69d9c1c7532c7a8976d374dac917f3bacff1
4,277,3.0,3.0,250000.0,2500.0,0.02,3189418.37,1997186.2,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5834de33a59459586c5afbfbb7f7671c5202f3b629ef2f7a1fe97e355a1fe3c0
5,278,6.0,6.0,250000.0,500.0,0.01,1453719.47,1620276.9,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,1de9f0c0191bf08e699d388904ba7d4e14c3004b20ff93e3b9be1ef9ea930c3b
6,279,5.0,5.0,300000.0,6700.0,0.01,2315185.61,1849640.94,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,0212ba70cb873d25756af6355b4aa7b606444f046b829b564b40c5904090f45d
7,280,1.0,1.0,250000.0,5000.0,0.01,1352577.13,1927059.18,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d4c2484149231d8241764353b306e53c624105f10f1d5f0e957cd194019399ef
8,281,4.0,4.0,250000.0,3550.0,0.01,2458535.62,2073506.0,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,82e731598ad23c9425febc11e0472230409d5edc37df210c53806633f0b479e8
9,282,6.0,6.0,250000.0,5000.0,0.02,2604540.72,2038234.65,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,5e188d3e8e8a8d802de40e43d80e1dca654eeee322dbe4c113a106469e406e85
10,283,1.0,1.0,250000.0,3500.0,0.01,1573012.94,1371635.32,2011-05-24 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b7ee0319c9bf86492f31979fca0c9a9f6e9239e2232c340ab18d06c946385ba2
11,284,1.0,1.0,300000.0,3900.0,0.02,1576562.2,0.0,2012-09-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,fb2476153093b6921ed4f7d0e5fa4a8b2be4d6e33b29e9bfb5542640b4dae90c
12,285,,,,0.0,0.0,172524.45,0.0,2013-03-07 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,68dbae0b9b4301487fe8ecbfb7f0e47b3e463a43b92b9dd19c5527291dda34d5
13,286,9.0,9.0,250000.0,5650.0,0.02,1421810.92,2278548.98,2013-05-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,21d0ac9d8bd13aedbc0b504b6b45aaa7fe7732895963db32eb5be110daf46652
14,287,,,,0.0,0.0,519905.93,0.0,2012-04-09 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,b650f414c8a0a1c9c449606221a7861721f59cbc1dda7e7f502cf0fcedf37e9e
15,288,8.0,8.0,250000.0,75.0,0.02,1827066.71,1307949.79,2013-05-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,62dee39935aacf0d1705a5df1afafa5dcd03026cfcd6b272b4a12cc90d686678
16,289,10.0,10.0,250000.0,5150.0,0.02,4116871.23,1635823.4,2012-05-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,d981498d28759952af19a6d10fa0dec44fcbbd38a64d8e30f9bacf1c37594b14
17,290,7.0,7.0,250000.0,985.0,0.02,3121616.32,2396539.76,2012-05-23 00:00:00.000,True,2006-06-23,9999-12-31 00:00:00,27046cb008563d428482fd054cf0454c4e353ae4795ccc0158a39222f7673ef4
18,291,7.0,7.0,250000.0,0.0,0.0,0.0,0.0,2025-07-31 11:17:44.540,True,2006-06-23,9999-12-31 00:00:00,cce5735292ec03b5260e391df21d8d5c91e358eb5128abd2ec509b3b70cfffc2
19,292,5.0,5.0,250000.0,0.0,0.0,0.0,0.0,2025-07-31 11:23:10.883,True,2006-06-23,9999-12-31 00:00:00,bb1ead86866228a12d4806036282c0e1525f0cf778ad2f3fb9edd4586cd00c09
