STOREKEY,BUSINESSENTITYID,STORENAME,SALESPERSONKEY,SALESPERSONID,DEMOGRAPHICS,ROWGUID,STOREMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,292,Next-Door Bike Store,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1996</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>2</Brands><Internet>ISDN</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,dbce4e781586bda716ab79490c9f9b91f9df269530c1bc6ca6821ba643c61d4a
2,294,Professional Sales and Service,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1991</YearOpened><Specialty>Touring</Specialty><SquareFeet>18000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>14</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,c1cbaf70679f2836ed6afc041bb36b7da32fb7852cf154505c6be7b4d125cb34
3,296,Riders Company,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1999</YearOpened><Specialty>Road</Specialty><SquareFeet>21000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>15</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,889e2f71339645f63c1622721e68f376a501afb418b264c8e9b1614f83322000
4,298,The Bike Mechanics,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1994</YearOpened><Specialty>Mountain</Specialty><SquareFeet>18000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,3f720979517b65e147c448fd1841749cbe5d1ee930f060c924477adafde1f523
5,300,Nationwide Supply,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1987</YearOpened><Specialty>Touring</Specialty><SquareFeet>21000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>17</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4e86a262fb0d31a87d6b3b63589bd0c329e1620ebc21cdba6afb188c97e3ef25
6,302,Area Bike Accessories,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1982</YearOpened><Specialty>Road</Specialty><SquareFeet>9000</SquareFeet><Brands>AW</Brands><Internet>T2</Internet><NumberEmployees>8</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,d0e9d6a7c611315b26e627f535b13615bf11313a1f5f19a9a0f3fd398dc48f8f
7,304,Bicycle Accessories and Kits,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1990</YearOpened><Specialty>Mountain</Specialty><SquareFeet>7000</SquareFeet><Brands>AW</Brands><Internet>T1</Internet><NumberEmployees>9</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,1b2c5c2c26c8be4a7c917062ede0808cba9da2a30b1714db30e7b2dc19ef19b4
8,306,Clamps & Brackets Co.,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1985</YearOpened><Specialty>Mountain</Specialty><SquareFeet>17000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>10</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,889ef93be2bebddf67c93484344400de265a7932ac31000ff56e133a8ee88686
9,308,Valley Bicycle Specialists,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1979</YearOpened><Specialty>Mountain</Specialty><SquareFeet>72000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>66</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,288e768103e74205873dd5505979b5ea0d81b7409e82567b9153b3b1ccad6a42
10,310,New Bikes Company,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1974</YearOpened><Specialty>Road</Specialty><SquareFeet>39000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>40</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4592858af6e38f16f650d674936f48ed871129cf9c3eb0fd45450a8a7ae1c8b8
