SPECIALOFFERKEY,SPECIALOFFERID,DESCRIPTION,DISCOUNTPCT,TYPE,OFFERMODIFIEDDATE,CATEGORY,OFFERSTARTDATE,OFFERENDDATE,MINQTY,MAXQTY,OFFERDURATIONDAYS,DISCOUNTRANKTYPE,DISCOUNTPCTCONTRIBUTION,OFFERSTATUS,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,16,Mountain-500 Silver Clearance Sale,0.4,Discontinued Product,2014-03-01,Reseller,2014-03-31,2014-05-30,0,,60,1,11.36%,Expired,True,2006-06-23,9999-12-31 00:00:00,a81f23c696f3831996e071b5a50fb9a753944cfd9a96a4649c406ff51edd9208
2,7,Mountain-100 Clearance Sale,0.35,Discontinued Product,2012-03-14,Reseller,2012-04-13,2012-05-29,0,,46,2,9.94%,Expired,True,2006-06-23,9999-12-31 00:00:00,778936bf1536d93aadf0b8ca2cd79cfcc52e596fbb1bb60484c3ae58c58e17c7
3,15,Half-Price Pedal Sale,0.5,Seasonal Discount,2013-06-14,Customer,2013-07-14,2013-08-14,0,,31,1,14.20%,Expired,True,2006-06-23,9999-12-31 00:00:00,f0a2c2baae9654bb45ff21a56ad8c9938582bff4b7609f2a4c589dff1159e170
4,11,Sport Helmet Discount-2003,0.15,Seasonal Discount,2013-04-30,Reseller,2013-05-30,2013-06-29,0,,30,2,4.26%,Expired,True,2006-06-23,9999-12-31 00:00:00,b5583491b02072f12d18bf6f4f3e73259c886d7ec7375f01ab722b9f07cedce6
5,8,Sport Helmet Discount-2002,0.1,Seasonal Discount,2012-04-30,Reseller,2012-05-30,2012-06-29,0,,30,3,2.84%,Expired,True,2006-06-23,9999-12-31 00:00:00,8c5ece2db1751586bc59896139e09e819549ca3a2e7cb185e8a18a44f4e0254d
6,1,No Discount,0.0,No Discount,2011-04-01,No Discount,2011-05-01,2014-11-30,0,,1309,1,0.00%,Expired,True,2006-06-23,9999-12-31 00:00:00,d574233954ee1425b93496f33d176ad3f49886d83d5009961f59c31fc55302c6
7,10,Mountain Tire Sale,0.5,Excess Inventory,2013-04-14,Customer,2013-05-14,2013-07-29,0,,76,1,14.20%,Expired,True,2006-06-23,9999-12-31 00:00:00,bb3b189a766111020fb6eda7eafb8642252442d4cbcfe58e06fc9e1122574b86
8,12,LL Road Frame Sale,0.35,Excess Inventory,2013-04-30,Reseller,2013-05-30,2013-07-14,0,,45,2,9.94%,Expired,True,2006-06-23,9999-12-31 00:00:00,fb8521a9973fa7cdffd48049a64a8282e4e8dd5eaac7bc79104b32171b65c046
9,9,Road-650 Overstock,0.3,Excess Inventory,2012-04-30,Reseller,2012-05-30,2012-07-30,0,,61,3,8.52%,Expired,True,2006-06-23,9999-12-31 00:00:00,2160e1500bceb733098c0bb0315ed670118e291f8c1ae8c48c86c52dcb397734
10,14,Touring-1000 Promotion,0.2,New Product,2013-04-30,Reseller,2013-05-30,2013-08-29,0,,91,1,5.68%,Expired,True,2006-06-23,9999-12-31 00:00:00,3e148fa649adaf88e0486f5f6e8cdbfb60d4adbe4299d3a1cfcb595149c0e1d9
11,13,Touring-3000 Promotion,0.15,New Product,2013-04-30,Reseller,2013-05-30,2013-08-29,0,,91,2,4.26%,Expired,True,2006-06-23,9999-12-31 00:00:00,cde1d416890c1d2a79a9ee7812af3882f57208b67fd9f079e3c962af13d10281
12,6,Volume Discount over 60,0.2,Volume Discount,2011-05-01,Reseller,2011-05-31,2014-05-30,61,,1095,1,5.68%,Expired,True,2006-06-23,9999-12-31 00:00:00,c67e6ddfe86cf1237b21ba1f221ff1be6f5ac587400eae9dc584e4484dcd9775
13,5,Volume Discount 41 to 60,0.15,Volume Discount,2011-05-01,Reseller,2011-05-31,2014-05-30,41,60.0,1095,2,4.26%,Expired,True,2006-06-23,9999-12-31 00:00:00,0ea4d3f96931762f9d45e30cc4e1db957490c072547d2a152cfc50d8cfcd3394
14,4,Volume Discount 25 to 40,0.1,Volume Discount,2011-05-01,Reseller,2011-05-31,2014-05-30,25,40.0,1095,3,2.84%,Expired,True,2006-06-23,9999-12-31 00:00:00,be84884cc07930d17c959e11cde272773e11c78d41986134f36a893c7b4f61aa
15,3,Volume Discount 15 to 24,0.05,Volume Discount,2011-05-01,Reseller,2011-05-31,2014-05-30,15,24.0,1095,4,1.42%,Expired,True,2006-06-23,9999-12-31 00:00:00,e3bfeeb1fa25b2954ba747b49dbcf603b62b9f666cf0d33b541acd49a327f2bd
16,2,Volume Discount 11 to 14,0.02,Volume Discount,2011-05-01,Reseller,2011-05-31,2014-05-30,11,14.0,1095,5,0.57%,Expired,True,2006-06-23,9999-12-31 00:00:00,cc43a2dbca7a22a72bcec8050eea1a4caa56acedc34476b39449370d09f02efa
