TERRITORYKEY,TERRITORYID,REGIONNAME,REGIONCODE,GROUPNAME,SALESYTD,SALESLASTYEAR,COSTYTD,COSTLASTYEAR,TERRIMODIFIEDDATE,SALESGROWTHTREND,COSTTREND,ESTIMATEDPROFIT,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,1,Northwest,US,North America,7887187,3298694,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,7887187,True,2006-06-23,9999-12-31 00:00:00,94ce1da40d71a16eafb80f6fa7e30181c0c0d176679ffb1379ac874b3555a105
2,2,Northeast,US,North America,2402177,3607149,0,0,2008-04-30 00:00:00.000,Declining,Cost Stable,2402177,True,2006-06-23,9999-12-31 00:00:00,2e13ad0add1b6b07b9430b766f799ea1ce7052c3d0885d49be001becf278a98c
3,3,Central,US,North America,3072175,3205014,0,0,2008-04-30 00:00:00.000,Declining,Cost Stable,3072175,True,2006-06-23,9999-12-31 00:00:00,d07396e80a323e017d18862598d8440686735ede6084df968ba0e54336477df6
4,4,Southwest,US,North America,10510854,5366576,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,10510854,True,2006-06-23,9999-12-31 00:00:00,b028ccc1ba1afa5f5f9bc6ad6d11a2f82dd957f1286977d7c8cd070a349e0832
5,5,Southeast,US,North America,2538667,3925071,0,0,2008-04-30 00:00:00.000,Declining,Cost Stable,2538667,True,2006-06-23,9999-12-31 00:00:00,dda0cb02d0617795a2a5c0c999a6420722f50d435bdaf62a038c8f935e9e0955
6,6,Canada,CA,North America,6771829,5693989,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,6771829,True,2006-06-23,9999-12-31 00:00:00,d4c8b1c044cb7fc4832a53f4bd65c469255d848641168904d98267a8558657ac
7,7,France,FR,Europe,4772398,2396540,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,4772398,True,2006-06-23,9999-12-31 00:00:00,54af13b922f6279c613c1630f4230679a318f448408960f95c6dd7f8bdef6525
8,8,Germany,DE,Europe,3805202,1307950,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,3805202,True,2006-06-23,9999-12-31 00:00:00,002c6b04708cc645ae4ee93cd9c86e797448bddbaed7dcaa60eb73da408ca443
9,9,Australia,AU,Pacific,5977815,2278549,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,5977815,True,2006-06-23,9999-12-31 00:00:00,8c650ecc06d8280ec506415f016ea8163a579ffa55b249bf83a76d0d966991ae
10,10,United Kingdom,GB,Europe,5012905,1635823,0,0,2008-04-30 00:00:00.000,Growing,Cost Stable,5012905,True,2006-06-23,9999-12-31 00:00:00,e7e20a71e3b27f28770f1550f792742798ddaadde3de9ab545135a44fcf1d885
11,12,Test case5,VN,Asia,0,0,0,0,2025-08-04 15:31:21.063,Stable,Cost Stable,0,True,2006-06-23,9999-12-31 00:00:00,c62945b691f8968489496872e7e29f04d41af5aeddc9becac0708276cda1e316
