WORKORDERROUTINGKEY,WORKORDERID,PRODUCTID,PRODUCTKEY,OPERATIONSEQUENCE,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SCHEDULEDSTARTDATE,SCHEDULEDENDDATE,ACTUALSTARTDATE,ACTUALENDDATE,ACTUALRESOURCEHRS,PLANNEDCOST,ACTUALCOST,ROUTINGMODIFIEDDATE,SCRAPREASONNAME,SCRAPMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,13,747,406,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,c3c0622cbe4c3a1c6b17e8cdf871f0f35373b426588d939144f86f89ac220042
2,13,747,406,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,bf2e309aae978930bffe4ead6aa39b343e7cac6a269ad8e59993bc85ada401ea
3,13,747,406,3,30,Debur and Polish,14.5,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,d52eeb9b5723925a01b933390111d9ec165fb369579f8427746da6e7915ab412
4,13,747,406,4,40,Paint,15.75,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,31.5,31.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,af575875667ee5fde265040a0d740fcd7a878ea33f9c8a40b5c197bbf97b06a8
5,13,747,406,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,3d8b1bfe4a1c78eab0e5620d5650a9348dd4895dcc54d5165d2e9bd9e0f1beaf
6,13,747,406,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,1eb5c48db06622ef491925365d0f53823e3feb82d9f7817d9441f7d097821cda
7,14,748,400,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,5c301f3d4d99d407218358a8aece346605686153100330848b944c105e99f12b
8,14,748,400,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,7851b6cf53f33b1d58617c5380e9cdb3d5b5c76b19150d5a03ab99cc0d0d5eeb
9,14,748,400,3,30,Debur and Polish,14.5,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,67db9bb6012c417af0b28c972f6c25ed75220165d4e576374321d2a2244fc12f
10,14,748,400,5,45,Specialized Paint,18.0,80.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,36.0,36.0,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,75b50968212dc98487c76c4e1db875dc836924cc458d677a7fe636214a96501b
11,14,748,400,6,50,Subassembly,12.25,120.0,2008-04-30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19,,,True,2006-06-23,9999-12-31 00:00:00,3087f83c46fab5ab326bd0d3c1eae5c9f1982060ac71bf4b8369616d08c20867
