PRODUCTKEY,PRODUCTID,PRODUCTNAME,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,STANDARDCOST,LISTPRICE,SIZE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,CLASS,STYLE,PRODUCTMODIFIEDDATE,SUBCATEPROMODIFIEDDATE,CATEPROMODIFIEDDATE,PRODUCTSUBCATEGORYID,PRODUCTCATEGORYID,CATEGORYNAME,SELLSTARTDATE,SELLENDDATE,DISCONTINUEDDATE,PRICERANKINSUBCATEGORY,PROFITMARGINPCT,TOTALPROINCATE,AVGPRICEBYSUBCATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,804,HL Fork,True,,500,375,102,229,,,1,,H ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,10.0,2.0,Components,2012-05-30,2013-05-29,,1,125.0,134,184,True,2006-06-23,9999-12-31 00:00:00,b7e2e79b9fcaacb1310c9072b62a1352053ff158b20f584245e26c3c7bf85fd0
2,803,ML Fork,True,,500,375,78,175,,,1,,M ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,10.0,2.0,Components,2012-05-30,2013-05-29,,2,125.0,134,184,True,2006-06-23,9999-12-31 00:00:00,750b756beea84ecf40abca56d32d6a94f606ddabf11f6239eb59c8fc7e511b52
3,802,LL Fork,True,,500,375,66,148,,,1,,L ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,10.0,2.0,Components,2012-05-30,2013-05-29,,3,125.0,134,184,True,2006-06-23,9999-12-31 00:00:00,1cf69834b5a90aedc13e412b67af3ad1593581f9d68e443164de23885eab7522
4,937,HL Mountain Pedal,True,Silver/Black,500,375,36,81,,185.0,1,M ,H ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,1,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,5227b4d1ad1390096dce0930e0b3a3525fdb3e32ae589b6cda758a1ea319ea3a
5,940,HL Road Pedal,True,Silver/Black,500,375,36,81,,149.0,1,R ,H ,,2014-02-08 10:03:55.510,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,1,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,e17867f7d25fc1712adad8edc688c5a49ddaf8eba30240ebcd6fe87a28da9d54
6,941,Touring Pedal,True,Silver/Black,500,375,36,81,,,1,T ,,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,1,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,8fbefbcbd74140c1442b9cddbcc007030c16394376e3cc044f314bac6af1b78d
7,936,ML Mountain Pedal,True,Silver/Black,500,375,28,62,,215.0,1,M ,M ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,2,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,c5df17d0c70376b8afa4511bd5bb7583d95015944738298251124f240d4fa5e8
8,939,ML Road Pedal,True,Silver/Black,500,375,28,62,,168.0,1,R ,M ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,2,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,87f17cddb7f2456ae5e03da3af26769a026f295d545f733a4a44a4d681265b71
9,935,LL Mountain Pedal,True,Silver/Black,500,375,18,40,,218.0,1,M ,L ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,3,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,8cb300d9e63f5a7d735988bbe07e6b99a0beadbdf02ed823fa857a2070eb70ec
10,938,LL Road Pedal,True,Silver/Black,500,375,18,40,,189.0,1,R ,L ,,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,13.0,2.0,Components,2013-05-30,,,3,125.0,134,64,True,2006-06-23,9999-12-31 00:00:00,910d06e1fa0dcb247b9d20c2a55a0a95c5e37c2dedab7be1031aef9b07c31b39
11,772,"Mountain-100 Silver, 42",True,Silver,100,75,1912,3400,42,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,1,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,b06d0db980df83dee6ecf5a0d1e8f7c6178015149b7a422299375ab6ccf843bc
12,773,"Mountain-100 Silver, 44",True,Silver,100,75,1912,3400,44,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,1,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,0f1c6ca1e6a4c5504d3b93054e6fbc0f94c03fdca43426308d794d12ffbe5865
13,774,"Mountain-100 Silver, 48",True,Silver,100,75,1912,3400,48,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,1,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,b5df7d8d18cef8d9ebbe480d300e2eed524fbc913ab3f6dd823032681450206d
14,771,"Mountain-100 Silver, 38",True,Silver,100,75,1912,3400,38,20.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,1,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,f3340ff75fbb249ad38e587290c8b54fc9612f0bb0ab27ac678a4f1f69d1594b
15,775,"Mountain-100 Black, 38",True,Black,100,75,1898,3375,38,20.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,2,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,a1e158aba20a02dc2ba57b06f0354dc48652666b83a336725593c09b6708379c
16,776,"Mountain-100 Black, 42",True,Black,100,75,1898,3375,42,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,2,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,92a40be5f2aa821cc67317e70e5960003947337fc4469dd2f8daecbc0683f4f2
17,777,"Mountain-100 Black, 44",True,Black,100,75,1898,3375,44,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,2,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,3147414f01dd9d5343d31d10a1d46d7fb71e14ab622a9b0fcc31698e8622af8a
18,778,"Mountain-100 Black, 48",True,Black,100,75,1898,3375,48,21.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2011-05-31,2012-05-29,,2,78.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,99cbe0977452f3780eec3b1b723d98659131799c977d158f44bc7b6868451c32
19,779,"Mountain-200 Silver, 38",True,Silver,100,75,1266,2320,38,23.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,3,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,13f1631c5417f171ec252c8d9ef3102cb346b774a2f1221bd77d630d60bcc14a
20,780,"Mountain-200 Silver, 42",True,Silver,100,75,1266,2320,42,24.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,3,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,1ff2caf6593576050f29b9b03aee813e12bafceada17990d776c06bab0886ce9
21,781,"Mountain-200 Silver, 46",True,Silver,100,75,1266,2320,46,24.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,3,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,6bfdcd68d05ffbc4385ad2f487e823585f604345e08fbf49e6878235eaf784ca
22,782,"Mountain-200 Black, 38",True,Black,100,75,1252,2295,38,23.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,4,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,0bc011bcb168cf3b9f68ccfd73c5fa73bae9c1636493bcc5a9596d4f124e3907
23,783,"Mountain-200 Black, 42",True,Black,100,75,1252,2295,42,24.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,4,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,e7121f878463ed36e95edc95babd89aa7382e6298c0e46f21b2a5795cc983358
24,784,"Mountain-200 Black, 46",True,Black,100,75,1252,2295,46,24.0,4,M ,H ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,,,4,83.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,2d39a4885f61718af7b732db1980e55d2684c96cf1aabb5c4c0b7b0ac1f438a4
25,787,"Mountain-300 Black, 44",True,Black,100,75,598,1080,44,26.0,4,M ,M ,U ,2014-02-08 10:01:36.827,2008-04-30,2008-04-30,1.0,1.0,Bikes,2012-05-30,2013-05-29,,5,80.0,97,1683,True,2006-06-23,9999-12-31 00:00:00,601f12c001542c9470431c5c8d0d797bda3c3b50142fa40ede1887b039c3b5ca
