PURCHASEORDERDETAILKEY,PURCHASEORDERID,PURCHASEORDERDETAILID,PURCHASEORDERHEADERKEY,PRODUCTKEY,DUEDATE,ORDERQTY,UNITPRICE,LINETOTAL,RECEIVEDQTY,REJECTEDQTY,STOCKEDQTY,ORDERDETAILMODIFIEDDATE,ISCURRENT
1,1,1,1,248,2011-04-30,4,50.26,201.04,3.0,0.0,3.0,2011-04-23,True
2,2,2,2,168,2011-04-30,3,45.12,135.36,3.0,0.0,3.0,2011-04-23,True
3,2,3,2,169,2011-04-30,3,45.58,136.74,3.0,0.0,3.0,2011-04-23,True
4,3,4,3,126,2011-04-30,550,16.09,8847.3,550.0,0.0,550.0,2011-04-23,True
5,4,5,4,186,2011-04-30,3,57.03,171.08,2.0,1.0,1.0,2011-04-23,True
6,5,6,5,117,2011-05-14,550,37.09,20397.3,550.0,0.0,550.0,2011-05-07,True
7,6,7,6,118,2011-05-14,550,26.6,14628.08,468.0,0.0,468.0,2011-05-07,True
8,7,8,7,188,2011-05-14,550,27.06,14882.18,550.0,0.0,550.0,2011-05-07,True
9,7,9,7,189,2011-05-14,550,33.58,18468.45,550.0,0.0,550.0,2011-05-07,True
10,7,10,7,190,2011-05-14,550,46.06,25334.93,550.0,0.0,550.0,2011-05-07,True
11,8,11,8,212,2011-05-14,3,47.47,142.41,3.0,0.0,3.0,2011-05-07,True
12,8,12,8,213,2011-05-14,3,45.37,136.11,3.0,0.0,3.0,2011-05-07,True
13,8,13,8,214,2011-05-14,3,49.64,148.93,3.0,0.0,3.0,2011-05-07,True
14,8,14,8,215,2011-05-14,3,45.37,136.11,3.0,0.0,3.0,2011-05-07,True
15,8,15,8,216,2011-05-14,3,43.27,129.81,3.0,0.0,3.0,2011-05-07,True
16,9,16,9,231,2011-12-28,3,47.52,142.57,3.0,0.0,3.0,2011-12-21,True
17,9,17,9,232,2011-12-28,3,45.42,136.27,3.0,0.0,3.0,2011-12-21,True
18,9,18,9,233,2011-12-28,3,49.7,149.09,3.0,0.0,3.0,2011-12-21,True
19,9,19,9,234,2011-12-28,3,45.42,136.27,3.0,0.0,3.0,2011-12-21,True
20,9,20,9,138,2011-12-28,3,43.32,129.97,3.0,0.0,3.0,2011-12-21,True
21,10,21,10,191,2011-12-28,3,47.47,142.41,3.0,0.0,3.0,2011-12-21,True
22,10,22,10,192,2011-12-28,3,42.8,128.39,3.0,0.0,3.0,2011-12-21,True
23,10,23,10,193,2011-12-28,60,25.42,1525.23,60.0,0.0,60.0,2011-12-21,True
24,11,24,11,85,2011-12-28,3,41.22,123.67,3.0,0.0,3.0,2011-12-21,True
25,11,25,11,98,2011-12-28,3,45.5,136.49,3.0,0.0,3.0,2011-12-21,True
26,11,26,11,99,2011-12-28,3,41.22,123.67,3.0,0.0,3.0,2011-12-21,True
27,11,27,11,100,2011-12-28,3,39.12,117.37,3.0,0.0,3.0,2011-12-21,True
28,12,28,12,6,2011-12-28,550,62.99,34644.23,550.0,82.0,468.0,2011-12-21,True
29,13,29,13,191,2011-12-28,3,45.37,136.11,3.0,0.0,3.0,2011-12-21,True
30,13,30,13,192,2011-12-28,3,40.49,121.46,3.0,0.0,3.0,2011-12-21,True
31,13,31,13,193,2011-12-28,60,26.37,1581.93,60.0,0.0,60.0,2011-12-21,True
32,14,32,14,121,2011-12-28,3,48.76,146.29,3.0,3.0,0.0,2011-12-21,True
33,15,33,15,156,2011-12-28,3,34.19,102.56,3.0,0.0,3.0,2011-12-21,True
34,16,34,16,194,2011-12-28,3,50.26,150.79,3.0,0.0,3.0,2011-12-21,True
35,17,35,17,119,2011-12-29,550,10.73,5902.05,550.0,0.0,550.0,2011-12-22,True
36,17,36,17,120,2011-12-29,550,14.12,7767.38,550.0,0.0,550.0,2011-12-22,True
37,18,37,18,151,2011-12-29,60,50.26,3015.81,60.0,0.0,60.0,2011-12-22,True
38,18,38,18,152,2011-12-29,60,57.15,3429.09,60.0,0.0,60.0,2011-12-22,True
39,18,39,18,153,2011-12-29,60,53.2,3192.21,60.0,0.0,60.0,2011-12-22,True
40,18,40,18,154,2011-12-29,60,63.69,3821.58,60.0,0.0,60.0,2011-12-22,True
41,18,41,18,155,2011-12-29,60,48.91,2934.54,60.0,0.0,60.0,2011-12-22,True
42,19,42,19,440,2011-12-29,550,21.09,11601.98,550.0,0.0,550.0,2011-12-22,True
43,19,43,19,437,2011-12-29,550,30.44,16741.73,550.0,0.0,550.0,2011-12-22,True
