PURCHASEORDERHEADERKEY,PURCHASEORDERID,REVISIONNUMBER,STATUS,SHIPMETHODKEY,ORDERDATE,SHIPDATE,SUBTOTAL,TAXAMT,FREIGHT,TOTALDUE,PURCHASEMODIFIEDDATE,ISCURRENT
1,1,4,4,3,2011-04-16,2011-04-25,201.04,16.08,5.03,222.15,2011-04-25 00:00:00.000,True
2,2,4,1,5,2011-04-16,2011-04-25,272.1,21.77,6.8,300.67,2011-04-25 00:00:00.000,True
3,3,4,4,2,2011-04-16,2011-04-25,8847.3,707.78,221.18,9776.27,2011-04-25 00:00:00.000,True
4,4,4,3,5,2011-04-16,2011-04-25,171.08,13.69,4.28,189.04,2011-04-25 00:00:00.000,True
5,5,4,4,4,2011-04-30,2011-05-09,20397.3,1631.78,509.93,22539.02,2011-05-09 00:00:00.000,True
6,6,4,4,3,2011-04-30,2011-05-09,14628.08,1170.25,365.7,16164.02,2011-05-09 00:00:00.000,True
7,7,4,4,3,2011-04-30,2011-05-09,58685.55,4694.84,1467.14,64847.53,2011-05-09 00:00:00.000,True
8,8,4,4,5,2011-04-30,2011-05-09,693.38,55.47,17.33,766.18,2011-05-09 00:00:00.000,True
9,9,5,4,5,2011-12-14,2011-12-23,694.17,55.53,17.35,767.05,2011-12-23 00:00:00.000,True
10,10,4,4,5,2011-12-14,2011-12-23,1796.04,143.68,44.9,1984.62,2011-12-23 00:00:00.000,True
11,11,4,4,4,2011-12-14,2011-12-23,501.2,40.1,12.53,553.82,2011-12-23 00:00:00.000,True
12,12,4,4,5,2011-12-14,2011-12-23,34644.23,2771.54,866.11,38281.87,2011-12-23 00:00:00.000,True
13,13,4,4,4,2011-12-14,2011-12-23,1839.51,147.16,45.99,2032.65,2011-12-23 00:00:00.000,True
14,14,4,3,5,2011-12-14,2011-12-23,146.29,11.7,3.66,161.65,2011-12-23 00:00:00.000,True
15,15,4,4,5,2011-12-14,2011-12-23,102.56,8.21,2.56,113.33,2011-12-23 00:00:00.000,True
