SALESORDERDETAILKEY,SALESORDERID,SALESORDERDETAILID,CARRIERTRACKINGNUMBER,ORDERQTY,PRODUCTKEY,SPECIALOFFERKEY,SALESORDERHEADERKEY,UNITPRICE,UNITPRICEDISCOUNT,LINETOTAL,TOTALORDERQTYPERORDER,TOTALLINETOTALPERORDER,PRODUCTRANKINORDER,DETAILMODIFIEDDATE,ISCURRENT
1,54791,53347,,1,312,6,14519,21.98,0.0,21.98,1,21.98,1,2013-08-21,True
2,50847,35324,,1,349,6,7716,782.99,0.0,782.99,1,782.99,1,2013-05-07,True
3,62299,79662,,1,499,6,23845,24.99,0.0,24.99,3,31.27,1,2013-12-17,True
4,62299,79661,,1,503,6,23845,3.99,0.0,3.99,3,31.27,2,2013-12-17,True
5,62299,79663,,1,504,6,23845,2.29,0.0,2.29,3,31.27,3,2013-12-17,True
6,73711,118008,,1,519,6,35182,742.35,0.0,742.35,1,742.35,1,2014-05-24,True
7,71816,111455,52D4-4F3B-9E,1,506,6,33403,1430.44,0.0,1430.44,13,2847.41,1,2014-05-01,True
8,71816,111454,52D4-4F3B-9E,1,514,6,33403,728.91,0.0,728.91,13,2847.41,2,2014-05-01,True
9,71816,111459,52D4-4F3B-9E,1,524,6,33403,445.41,0.0,445.41,13,2847.41,3,2014-05-01,True
10,71816,111458,52D4-4F3B-9E,3,391,6,33403,32.39,0.0,97.18,13,2847.41,4,2014-05-01,True
11,71816,111460,52D4-4F3B-9E,1,447,6,33403,63.9,0.0,63.9,13,2847.41,5,2014-05-01,True
12,71816,111456,52D4-4F3B-9E,2,395,6,33403,29.99,0.0,59.99,13,2847.41,6,2014-05-01,True
13,71816,111457,52D4-4F3B-9E,4,43,6,33403,5.39,0.0,21.58,13,2847.41,7,2014-05-01,True
14,69415,102639,3D39-4844-B5,3,506,6,31121,1430.44,0.0,4291.33,26,12307.13,1,2014-03-31,True
15,69415,102634,3D39-4844-B5,2,515,6,31121,728.91,0.0,1457.82,26,12307.13,2,2014-03-31,True
16,69415,102626,3D39-4844-B5,1,509,6,31121,1430.44,0.0,1430.44,26,12307.13,3,2014-03-31,True
17,69415,102627,3D39-4844-B5,1,510,6,31121,1430.44,0.0,1430.44,26,12307.13,3,2014-03-31,True
18,69415,102629,3D39-4844-B5,2,518,6,31121,445.41,0.0,890.82,26,12307.13,5,2014-03-31,True
19,69415,102635,3D39-4844-B5,1,514,6,31121,728.91,0.0,728.91,26,12307.13,6,2014-03-31,True
20,69415,102628,3D39-4844-B5,1,524,6,31121,445.41,0.0,445.41,26,12307.13,7,2014-03-31,True
21,69415,102632,3D39-4844-B5,1,527,6,31121,445.41,0.0,445.41,26,12307.13,7,2014-03-31,True
22,69415,102633,3D39-4844-B5,1,523,6,31121,445.41,0.0,445.41,26,12307.13,7,2014-03-31,True
23,69415,102638,3D39-4844-B5,1,520,6,31121,445.41,0.0,445.41,26,12307.13,7,2014-03-31,True
24,69415,102625,3D39-4844-B5,4,391,6,31121,32.39,0.0,129.58,26,12307.13,11,2014-03-31,True
25,69415,102624,3D39-4844-B5,1,447,6,31121,63.9,0.0,63.9,26,12307.13,12,2014-03-31,True
26,69415,102636,3D39-4844-B5,1,48,6,31121,54.89,0.0,54.89,26,12307.13,13,2014-03-31,True
27,69415,102630,3D39-4844-B5,1,395,6,31121,29.99,0.0,29.99,26,12307.13,14,2014-03-31,True
28,69415,102631,3D39-4844-B5,4,445,6,31121,2.99,0.0,11.98,26,12307.13,15,2014-03-31,True
29,69415,102637,3D39-4844-B5,1,43,6,31121,5.39,0.0,5.39,26,12307.13,16,2014-03-31,True
30,73970,118647,,1,456,6,35504,69.99,0.0,69.99,1,69.99,1,2014-05-28,True
31,73767,118150,,1,24,6,35237,2294.99,0.0,2294.99,4,2340.23,1,2014-05-25,True
32,73767,118151,,1,494,6,35237,35.0,0.0,35.0,4,2340.23,2,2014-05-25,True
33,73767,118153,,1,548,6,35237,7.95,0.0,7.95,4,2340.23,3,2014-05-25,True
34,73767,118152,,1,504,6,35237,2.29,0.0,2.29,4,2340.23,4,2014-05-25,True
35,44174,2073,,1,313,6,560,3578.27,0.0,3578.27,1,3578.27,1,2011-08-08,True
36,57512,64018,,1,497,6,17194,28.99,0.0,28.99,2,33.98,1,2013-10-05,True
37,57512,64019,,1,502,6,17194,4.99,0.0,4.99,2,33.98,2,2013-10-05,True
38,71895,112866,86F6-4EFC-86,3,49,6,33297,38.1,0.0,114.3,7,221.26,1,2014-05-01,True
39,71895,112865,86F6-4EFC-86,2,395,6,33297,29.99,0.0,59.99,7,221.26,2,2014-05-01,True
40,71895,112864,86F6-4EFC-86,2,437,6,33297,23.48,0.0,46.97,7,221.26,3,2014-05-01,True
41,63391,84039,,1,431,6,24927,24.49,0.0,24.49,2,29.48,1,2014-01-01,True
42,63391,84040,,1,445,6,24927,4.99,0.0,4.99,2,29.48,2,2014-01-01,True
43,44606,3980,,1,315,6,1480,3578.27,0.0,3578.27,1,3578.27,1,2011-10-07,True
44,45979,8263,,1,313,6,2855,3578.27,0.0,3578.27,1,3578.27,1,2012-03-25,True
45,59505,71584,,1,329,6,19263,1700.99,0.0,1700.99,1,1700.99,1,2013-11-05,True
46,60732,74630,,1,36,6,22222,564.99,0.0,564.99,4,645.95,1,2013-11-23,True
47,60732,74633,,1,394,6,22222,49.99,0.0,49.99,4,645.95,2,2013-11-23,True
48,60732,74631,,1,312,6,22222,21.98,0.0,21.98,4,645.95,3,2013-11-23,True
49,60732,74632,,1,43,6,22222,8.99,0.0,8.99,4,645.95,4,2013-11-23,True
50,66036,92319,,1,395,6,27588,49.99,0.0,49.99,1,49.99,1,2014-02-09,True
51,52192,43661,,1,309,6,11878,34.99,0.0,34.99,2,39.98,1,2013-07-06,True
52,52192,43660,,1,501,6,11878,4.99,0.0,4.99,2,39.98,2,2013-07-06,True
53,64592,87034,,1,512,6,26079,2384.07,0.0,2384.07,6,2588.33,1,2014-01-19,True
54,64592,87038,,1,463,6,26079,159.0,0.0,159.0,6,2588.33,2,2014-01-19,True
55,64592,87035,,1,497,6,26079,28.99,0.0,28.99,6,2588.33,3,2014-01-19,True
