SALESORDERHEADERKEY,SALESORDERID,ORDERDATE,DUEDATE,SHIPDATE,STATUSODER,ISONLINE,PURCHASEORDERNUMBER,SALESORDERNUMBER,CUSACCOUNT,SALESPERSONID,CUSTOMERKEY,SALESPERSONKEY,SALESPEREXPLAIN,TERRITORYKEY,CURRENCYRATEKEY,CURRENCYEXPLAIN,CREDITCARDKEY,CREDITCARDEXPLAIN,SHIPMETHODKEY,DATEKEYORDER,DATEKEYDUE,DATEKEYSHIP,CREDITCARDAPPROVALCODE,SUBTOTAL,TAX,SHIPPINGFEE,TOTALAMOUNT,CUMULATIVEAMOUNT,ORDERCOUNT,RECENCY,FREQUENCY,MONETARY,PAYMETHOD,FRAUDSTATUS,SALESHEADERMODIFIEDDATE,ISCURRENT
1,43691,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO6409111675,SO43691,10-4020-000292,277.0,24444,4,Have SalesPerson,4,-1,Have No CurrencyRate,242,Have CreditCard,5,20110531,20110612,20110607,28360Vi1235,874.79,83.98,26.24,985.02,985.02,473,4183,12,61854.52,CreditCard,Normal,2011-06-07,True
2,43681,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO1189177803,SO43681,10-4020-000423,279.0,24535,6,Have SalesPerson,5,-1,Have No CurrencyRate,5833,Have CreditCard,5,20110531,20110612,20110607,16608Vi27707,13787.54,1323.07,413.46,15524.07,16509.09,429,4549,6,86090.99,CreditCard,Normal,2011-06-07,True
3,43682,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO1566124200,SO43682,10-4020-000486,275.0,24633,2,Have SalesPerson,2,-1,Have No CurrencyRate,76,Have CreditCard,5,20110531,20110612,20110607,96712Vi373,3875.72,371.8,116.19,4363.71,20872.8,450,4914,4,36756.08,CreditCard,Normal,2011-06-07,True
4,43683,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO2552113807,SO43683,10-4020-000506,283.0,24371,10,Have SalesPerson,1,-1,Have No CurrencyRate,16409,Have CreditCard,5,20110531,20110612,20110607,76866Vi67506,42813.43,4107.15,1283.48,48204.07,69076.87,189,4183,12,789884.31,CreditCard,Normal,2011-06-07,True
5,43684,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO3393188842,SO43684,10-4020-000549,279.0,24786,6,Have SalesPerson,5,-1,Have No CurrencyRate,311,Have CreditCard,5,20110531,20110612,20110607,37982Vi1394,5596.47,537.26,167.89,6301.63,75378.5,429,4914,4,92154.32,CreditCard,Normal,2011-06-07,True
6,43685,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO4176124783,SO43685,10-4020-000458,279.0,24958,6,Have SalesPerson,5,-1,Have No CurrencyRate,3051,Have CreditCard,5,20110531,20110612,20110607,108058Vi13146,2736.57,263.2,82.25,3082.02,78460.52,429,4183,8,9336.94,CreditCard,Normal,2011-06-07,True
7,43686,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO5075125561,SO43686,10-4020-000344,283.0,24480,10,Have SalesPerson,1,-1,Have No CurrencyRate,17976,Have CreditCard,5,20110531,20110612,20110607,48152Vi75759,3463.3,332.48,103.9,3899.68,82360.2,189,4183,10,16030.15,CreditCard,Normal,2011-06-07,True
8,43687,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO4959110829,SO43687,10-4020-000269,275.0,24484,2,Have SalesPerson,2,-1,Have No CurrencyRate,3767,Have CreditCard,5,20110531,20110612,20110607,128163Vi17021,1258.38,120.8,37.75,1416.93,83777.13,450,4549,7,18398.32,CreditCard,Normal,2011-06-07,True
9,43688,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO5365136389,SO43688,10-4020-000161,275.0,24592,2,Have SalesPerson,2,-1,Have No CurrencyRate,15763,Have CreditCard,5,20110531,20110612,20110607,88200Vi64099,12718.08,1222.88,382.15,14323.12,98100.25,450,4549,8,102216.09,CreditCard,Normal,2011-06-07,True
10,43689,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO5626159507,SO43689,10-4020-000166,277.0,24520,4,Have SalesPerson,4,-1,Have No CurrencyRate,16418,Have CreditCard,5,20110531,20110612,20110607,98228Vi67566,33997.37,3271.49,1022.34,38291.21,136391.46,473,4183,12,820383.55,CreditCard,Normal,2011-06-07,True
11,43690,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO6235146326,SO43690,10-4020-000431,275.0,24407,2,Have SalesPerson,3,-1,Have No CurrencyRate,2869,Have CreditCard,5,20110531,20110612,20110607,28321Vi12181,1297.59,124.2,38.81,1460.61,137852.07,450,4183,12,93332.01,CreditCard,Normal,2011-06-07,True
12,43659,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO522145787,SO43659,10-4020-000676,279.0,24699,6,Have SalesPerson,5,-1,Have No CurrencyRate,21453,Have CreditCard,5,20110531,20110612,20110607,105041Vi84182,20565.62,1971.51,616.1,23153.23,161005.3,429,4183,12,475892.04,CreditCard,Normal,2011-06-07,True
13,43692,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO7859187017,SO43692,10-4020-000221,281.0,24866,8,Have SalesPerson,4,-1,Have No CurrencyRate,7708,Have CreditCard,5,20110531,20110612,20110607,108529Vi37251,38510.9,3696.4,1155.12,43362.42,204367.72,242,4183,12,483162.61,CreditCard,Normal,2011-06-07,True
14,43693,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO8120182325,SO43693,10-4020-000485,275.0,24365,2,Have SalesPerson,5,-1,Have No CurrencyRate,12301,Have CreditCard,5,20110531,20110612,20110607,128548Vi46064,20541.41,1969.56,615.49,23126.45,227494.17,450,4914,4,98273.54,CreditCard,Normal,2011-06-07,True
15,43694,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO9657130250,SO43694,10-4020-000315,279.0,24423,6,Have SalesPerson,5,-1,Have No CurrencyRate,7615,Have CreditCard,5,20110531,20110612,20110607,118748Vi36747,20645.63,1978.33,618.23,23242.19,250736.36,429,4549,8,238924.27,CreditCard,Normal,2011-06-07,True
16,43695,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO10179176559,SO43695,10-4020-000027,279.0,24832,6,Have SalesPerson,5,-1,Have No CurrencyRate,13527,Have CreditCard,5,20110531,20110612,20110607,128786Vi52413,39373.78,3787.46,1183.58,44344.83,295081.19,429,4183,9,173851.92,CreditCard,Normal,2011-06-07,True
17,43696,2011-05-31,2011-06-12,2011-06-07,Shipped,False,PO9947131800,SO43696,10-4020-000603,279.0,24723,6,Have SalesPerson,5,-1,Have No CurrencyRate,1934,Have CreditCard,5,20110531,20110612,20110607,98787Vi7192,419.46,40.27,12.58,472.31,295553.5,429,4458,7,5959.04,CreditCard,Normal,2011-06-07,True
18,43697,2011-05-31,2011-06-12,2011-06-07,Shipped,True,Unknown,SO43697,10-4030-021768,,14834,-1,Have No SalesPerson,6,4,Have CurrencyRate,4851,Have CreditCard,1,20110531,20110612,20110607,530200Vi22686,3578.27,286.26,89.46,3953.99,299507.49,27659,4351,2,4550.68,CreditCard,Normal,2011-06-07,True
19,43698,2011-05-31,2011-06-12,2011-06-07,Shipped,True,Unknown,SO43698,10-4030-028389,,23263,-1,Have No SalesPerson,7,8,Have CurrencyRate,21786,Have CreditCard,1,20110531,20110612,20110607,1231736Vi86048,3399.99,272.0,85.0,3756.99,303264.48,27659,5188,1,3756.99,CreditCard,Normal,2011-06-07,True
20,43699,2011-05-31,2011-06-12,2011-06-07,Shipped,True,Unknown,SO43699,10-4030-025863,,18929,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,6328,Have CreditCard,1,20110531,20110612,20110607,333376Vi30244,3399.99,272.0,85.0,3756.99,307021.47,27659,4248,2,5117.38,CreditCard,Normal,2011-06-07,True
21,43700,2011-05-31,2011-06-12,2011-06-07,Shipped,True,Unknown,SO43700,10-4030-014501,,4735,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16224,Have CreditCard,1,20110531,20110612,20110607,733791Vi66509,699.1,55.93,17.48,772.5,307793.97,27659,4261,2,3308.46,CreditCard,Normal,2011-06-07,True
