SALESORDERREASONKEY,SALESORDERID,SALESORDERHEADERKEY,REASONNAME,REASONTYPE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
1,43697,18,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,3042fd8388acabfd65a6fc07ee0cd381a9aa0d0ad8b9d65177413eace50acbff
2,43697,18,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e9c7b030c70eb7427dfca9abb2fc04f230151bdfb1b763d121de7e84898deb24
3,43702,44,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,b8613b1df9e87028a050db64a7628b9171d8e228ff73da59b026e5c89f9d43e5
4,43702,44,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,a0490daaec3f80084b88dae54084b64e6529516ea15fff2c0c0d854eb6fd0476
5,43703,45,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,b03fb0a5306a1b39d6f1cd9a6fa2b6e412c3e6c775bb95778a5be051bb90c90c
6,43703,45,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,eb795468d164bcecf0782b1c79d9c6ce64322bb9547094f3dc27e5ba85572de3
7,43710,48,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,dad32dd58bd72f234128986531c20d547f509746445f46c4cc5c3a82c66d7c49
8,43710,48,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,56db83bb114cc5a595b33bdda485a0108148ddea835cf81e5a9b437b626f0145
9,43706,49,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,34b15663d4cbe28f8668d37cf500b263ac55dc22074234d44bf6f70a313a05fc
10,43706,49,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,cdf536ea2db1abd1a34f1b973a3c1e65a54f58b8e8fb4b02a34df0523e37268f
11,43709,50,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,e2a65b01373ab7f2368d77e57c51507c97daef81ee160c5234eee07501ea566f
12,43709,50,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,d45f2f7b7ed100f34a937e2bb464c16c7ebba84766f9d8f03c7000cf43e83fd1
13,43707,52,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,72366b1efd12627fd04b1403d26476da20d223e246eaa65e32f2c3030c6bcf78
14,43707,52,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3aa5e2ff9efe05b805188ca8508bc68ec26e9d1b712e8d390ef076bf385dfe97
15,43711,53,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,87218dade9be3e664c38a4979a37aa764d4f373ec2929907ff1708e1c208b5da
16,43711,53,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,3f206b000fc601397e45c5ee30d7f6297635c3267c30bfab483582a25cc28e77
17,43712,54,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,97cb13fc023882c8c3092caaee687e1d847cf56f00152d607883c9f6af258bbb
18,43712,54,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,115d14ec2d7d28a6dd49db32ad9900579f55eb2a7b85ccb88ef9a2db3f74a535
19,43713,55,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,121c6b19a1830b45e7ea655de517b260baeba6653694ac0d36158b85d2c2baac
20,43713,55,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,475d26b9e2eb2c68a6e8e2d24e074f19bc517d45aa9b891c5db98eeaf6e54ed8
21,43714,56,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,b9a823afdd2434de17cb260858d952fd68aab34f8fce18ddea27f1fdc65de788
22,43714,56,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,07ebd38b0a923bd749906734255b895e27d13bd3a585b3d90e9dbd7eda238099
23,43715,57,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,2343254b11fb01eb5698847fc868e55e0871e4f4d507d3289645039c7019929d
24,43715,57,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,70404c0ab0148d25c229c18685f14ea0b7d8a184c4f09a6ef8545cd2b46da6b1
25,43716,58,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,6c80701d05cb07fdf3eaa5e763067c06cbf93e4cda584ba263a49a01d7cb6bdb
26,43716,58,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,1e542b6034593e25abbe49b16a23c14e7c458a08650bdb65e6346d0fad7c19b9
27,43718,60,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,eb6960178647ca6a75ad8bf24fa45c8a496e21a657e19586cc5fe03c51d0aa1c
28,43718,60,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,740b4d83536aaf38104b6b3b43e2a5e710def679c0635f94d38076526aa8d035
29,43719,61,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,8b9b11a8f6524ad74c7566e88e51a96e4a8649d9edc63fc8a62ee147cf4af64c
30,43719,61,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,6f856f1fbc35de50b43e0c15e2598109ad9723847675cce18e2e1af3b3810495
31,43720,62,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,b6472ad264f82d6681cbbdf32abb5a8107bc1af26eb5693727e0654a2d56d3e4
32,43720,62,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,a3b7bd1948453df8269827a44aea6270869c21d61fa065b0c71c66a9c19aae86
33,43721,63,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,7ba0e4f6fe7f7fa71216cf5c20c4aae179f7c79f209c6ecc82cef279874a960d
34,43721,63,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,bee615e669a8e1616e14bb7d662cde586e33683d6cce22093be3dbbcab880795
35,43724,64,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,b594c761cfd9c6a0e6045d14109663b8c757470a2685ec206d755bb1a8b814ee
36,43724,64,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,9c62aa5d4f12b820cada6f443b909717eb019e0776719302e490487269e96ff8
37,43722,66,Manufacturer,Other,True,2006-06-23,9999-12-31 00:00:00,25550f8f0c4fb4f900922f1e1dfe21a5c9a87601ba1c7d08ff7b0b8e90f537eb
38,43722,66,Qualityyy,Other,True,2006-06-23,9999-12-31 00:00:00,e50d50d65ffb5ede9fb32fc554a847e00bdf80c3bc9ba719f020396c679e601a
